Device,Interface,Speed,State:last1d,State:Current,Last Change,Title,VLANs
KAd-A002-vfswb,Gi5/27,1000000000,free,down,2021-10-08 16:27,A300C/D.375 ###39505,
KAd-A002-vfswb,Gi5/28,1000000000,used,up,2022-06-28 09:09,A300C/D.376 ###39505,
KAd-A002-vfswb,Gi5/29,1000000000,free,down,2015-12-01 13:07,A312A/D.377 ###39505,
KAd-A002-vfswb,Gi5/30,1000000000,free,down,2015-12-01 13:07,A312A/D.378 ###39505,
KAd-A002-vfswb,Gi5/31,1000000000,free,down,2020-03-24 16:58,A300/D.379 ###39505,
KAd-A002-vfswb,Gi5/32,1000000000,free,down,2021-07-14 16:37,A300/D.380 ###39505,
KAd-A002-vfswb,Gi5/33,1000000000,used,up,2022-03-23 01:15,A300E/D.381 ###39505,
KAd-A002-vfswb,Gi5/34,1000000000,free,down,2015-12-01 13:07,A300E/D.382 ###39505,
KAd-A002-vfswb,Gi5/35,1000000000,free,down,2019-09-24 14:49,A312C/D.383 ###39505,
KAd-A002-vfswb,Gi5/36,1000000000,free,down,2017-10-26 11:15,A300D/D.384 ###39505,
KAd-A002-vfswb,Gi5/37,1000000000,free,down,2022-05-04 10:06,A320B/D.397 ###39505,
KAd-A002-vfswb,Gi5/38,1000000000,free,down,2021-10-18 09:24,A320B/D.398 ###39505,
KAd-A002-vfswb,Gi5/39,1000000000,free,down,2021-10-01 12:11,A320/D.399 ###39505,
KAd-A002-vfswb,Gi5/40,1000000000,free,down,2017-09-14 14:09,A320/D.400 ###39505,
KAd-A002-vfswb,Gi5/41,1000000000,free,down,2015-12-01 13:07,A312/D.401 ###39505,
KAd-A002-vfswb,Gi5/42,1000000000,free,down,2015-12-01 13:07,A312/D.402 ###39505,
KAd-A002-vfswb,Gi5/43,1000000000,free,down,2015-12-01 13:07,A312 D.403 ###39505,
KAd-A002-vfswb,Gi5/44,1000000000,free,down,2021-07-22 15:01,A312 D.404 ###39505,
KAd-A002-vfswb,Gi5/45,1000000000,free,down,2022-01-19 08:24,A312/D.405 ###39505,
KAd-A002-vfswb,Gi5/46,1000000000,free,down,2018-08-17 10:45,A312/D.406 ###39505,
KAd-A002-vfswb,Gi5/47,1000000000,free,down,2021-10-29 17:13,A312I/D.407 ###39505,
KAd-A002-vfswb,Gi5/48,1000000000,free,down,2015-12-01 13:07,A312I D.408 ###39505,
KAd-A002-vfswb,Gi6/1,1000000000,used,up,2022-05-05 05:47,A312/D.537 ###39505,
KAd-A002-vfswb,Gi6/2,1000000000,used,up,2022-05-05 05:48,A312/D.541 ###39505,
KAd-A002-vfswb,Gi6/3,100000000,used,up,2022-06-16 12:07,A320A/D.411 ###39505,
KAd-A002-vfswb,Gi6/4,1000000000,used,up,2022-06-16 12:06,A320A/D.412 ###39505,
KAd-A002-vfswb,Gi6/5,1000000000,used,up,2021-10-24 13:57,A320A/D.413 ###39505,
KAd-A002-vfswb,Gi6/6,1000000000,free,down,2017-04-20 11:44,A320A/D.414 ###39505,
KAd-A002-vfswb,Gi6/7,1000000000,used,up,2022-03-23 01:41,A312/D.415 ###39505,
KAd-A002-vfswb,Gi6/8,1000000000,used,up,2017-09-25 14:49,A312/D.416 ###39505,
KAd-A002-vfswb,Gi6/9,1000000000,free,down,2022-02-03 14:34,A312/D.417 ###39505,
KAd-A002-vfswb,Gi6/10,1000000000,used,up,2021-08-01 10:48,A312/D.418 ###39505,
KAd-A002-vfswb,Gi6/11,1000000000,used,down,2022-06-28 12:08,A312/D.419 ###39505,
KAd-A002-vfswb,Gi6/12,1000000000,used,up,2022-06-28 15:01,A312/D.420 ###39505,
